"ITTER107","Territorio","TIPO_DATO4","Tipo dato","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","TOTAREA2","superficie (kmq)","2019","2019",25386.6971,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","TOTAREA2","superficie (kmq)","2019","2019",3260.8546,,
"ITC3","Liguria","TOTAREA2","superficie (kmq)","2019","2019",5416.152,,
"ITC4","Lombardia","TOTAREA2","superficie (kmq)","2019","2019",23863.0974,,
"ITDA","Trentino Alto Adige / Südtirol","TOTAREA2","superficie (kmq)","2019","2019",13604.7213,,
"ITD3","Veneto","TOTAREA2","superficie (kmq)","2019","2019",18345.3695,,
"ITD4","Friuli-Venezia Giulia","TOTAREA2","superficie (kmq)","2019","2019",7932.4822,,
"ITD5","Emilia-Romagna","TOTAREA2","superficie (kmq)","2019","2019",22444.542,,
"ITE1","Toscana","TOTAREA2","superficie (kmq)","2019","2019",22987.4371,,
"ITE2","Umbria","TOTAREA2","superficie (kmq)","2019","2019",8464.2233,,
"ITE3","Marche","TOTAREA2","superficie (kmq)","2019","2019",9401.1839,,
"ITE4","Lazio","TOTAREA2","superficie (kmq)","2019","2019",17231.7227,,
"ITF1","Abruzzo","TOTAREA2","superficie (kmq)","2019","2019",10831.4964,,
"ITF2","Molise","TOTAREA2","superficie (kmq)","2019","2019",4460.4373,,
"ITF3","Campania","TOTAREA2","superficie (kmq)","2019","2019",13670.598,,
"ITF4","Puglia","TOTAREA2","superficie (kmq)","2019","2019",19540.5181,,
"ITF5","Basilicata","TOTAREA2","superficie (kmq)","2019","2019",10073.1105,,
"ITF6","Calabria","TOTAREA2","superficie (kmq)","2019","2019",15221.6149,,
"ITG1","Sicilia","TOTAREA2","superficie (kmq)","2019","2019",25832.5454,,
"ITG2","Sardegna","TOTAREA2","superficie (kmq)","2019","2019",24099.453,,
