region_code,region_name,lat,long,tot_positives,deaths,population,totale_positives_every_100000,deaths_every_100000
1,Piemonte,45.0732745,7.680687483,7703,3783,4311217,179,88
2,Valle d'Aosta,45.73750286,7.320149366,32,143,125034,26,114
3,Lombardia,45.46679409,9.190347404,25614,15840,10027602,255,158
5,Veneto,45.43490485,12.33845213,2660,1869,4879133,55,38
6,Friuli Venezia Giulia,45.6494354,13.76813649,412,329,1206216,34,27
7,Liguria,44.41149315,8.9326992,1624,1419,1524826,107,93
8,Emilia-Romagna,44.49436681,11.3417208,4457,4055,4464119,100,91
9,Toscana,43.76923077,11.25588885,1700,1013,3692555,46,27
10,Umbria,43.10675841,12.38824698,53,75,870165,6,9
11,Marche,43.61675973,13.5188753,1692,994,1512672,112,66
12,Lazio,41.89277044,12.48366722,3569,684,5755700,62,12
13,Abruzzo,42.35122196,13.39843823,1092,398,1293941,84,31
14,Molise,41.55774754,14.65916051,183,22,300516,61,7
15,Campania,40.83956555,14.25084984,1268,405,5712143,22,7
16,Puglia,41.12559576,16.86736689,1793,487,3953305,45,12
17,Basilicata,40.63947052,15.80514834,39,27,553254,7,5
18,Calabria,38.90597598,16.59440194,275,96,1894110,15,5
19,Sicilia,38.11569725,13.362356699999998,1453,269,4875290,30,6
20,Sardegna,39.21531192,9.110616306,245,129,1611621,15,8
21,P.A. Bolzano,46.49933453,11.35662422,195,291,532644,37,55
22,P.A. Trento,46.06893511,11.12123097,535,457,545425,98,84
